meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#110,out,RAN,ECC PT1 (dst),2,2.0,2.0,out|||RAN|||ECC PT1 (dst)
#110,out,RAN,PCG (dst),1,1.0,0.5,out|||RAN|||PCG (dst)
#110,out,RAN,RAN2 (dst),1,1.0,0.333333,out|||RAN|||RAN2 (dst)
#110,out,RAN,SA (dst),9,9.0,5.833333,out|||RAN|||SA (dst)
#110,out,RAN,SA2 (dst),3,3.0,1.333333,out|||RAN|||SA2 (dst)
#110,out,RAN,SA5 (dst),2,2.0,1.0,out|||RAN|||SA5 (dst)
#90,in,3GPP ITU-R Ad Hoc (src),RAN,2,2.0,2.0,in|||3GPP ITU-R Ad Hoc (src)|||RAN
#90,in,Asia-Pacific Telecommunity (APT) (src),RAN,1,1.0,1.0,in|||Asia-Pacific Telecommunity (APT) (src)|||RAN
#90,in,ETSI JTC Broadcast (src),RAN,1,1.0,1.0,in|||ETSI JTC Broadcast (src)|||RAN
#90,in,ETSI MSG TFES (src),RAN,1,1.0,1.0,in|||ETSI MSG TFES (src)|||RAN
#90,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#90,in,IEEE Vehicular Technology/Intelligent Transportation System (VT/ITS) 1609 WG (src),RAN,1,1.0,1.0,in|||IEEE Vehicular Technology/Intelligent Transportation System (VT/ITS) 1609 WG (src)|||RAN
#90,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#90,in,ITU-R WP5A (src),RAN,1,1.0,1.0,in|||ITU-R WP5A (src)|||RAN
#90,in,ITU-R WP5D (src),RAN,5,5.0,5.0,in|||ITU-R WP5D (src)|||RAN
#90,in,NGMN (src),RAN,1,1.0,1.0,in|||NGMN (src)|||RAN
#90,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#90,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#90,in,RAN4 (src),RAN,1,1.0,1.0,in|||RAN4 (src)|||RAN
#90,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#90,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#90,in,SA2 (src),RAN,2,2.0,2.0,in|||SA2 (src)|||RAN
#90,in,SA4 (src),RAN,2,2.0,2.0,in|||SA4 (src)|||RAN
#90,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#90,out,RAN,Asia-Pacific Telecommunity (APT) Wireless Group (dst),2,2.0,2.0,out|||RAN|||Asia-Pacific Telecommunity (APT) Wireless Group (dst)
#90,out,RAN,EMEA Satellite Operators Association (ESOA) (dst),1,1.0,1.0,out|||RAN|||EMEA Satellite Operators Association (ESOA) (dst)
#90,out,RAN,ITU-R WP4B (dst),2,2.0,2.0,out|||RAN|||ITU-R WP4B (dst)
#90,out,RAN,RAN2 (dst),5,5.0,2.5,out|||RAN|||RAN2 (dst)
#90,out,RAN,RAN4 (dst),5,5.0,2.5,out|||RAN|||RAN4 (dst)
#90,out,RAN,SA (dst),1,1.0,1.0,out|||RAN|||SA (dst)
#91,in,3GPP ITU-R Ad Hoc (src),RAN,1,1.0,1.0,in|||3GPP ITU-R Ad Hoc (src)|||RAN
#91,in,5G Media Action Group (5G-MAG) (src),RAN,1,1.0,1.0,in|||5G Media Action Group (5G-MAG) (src)|||RAN
#91,in,5GAA (src),RAN,1,1.0,1.0,in|||5GAA (src)|||RAN
#91,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#91,in,CEPT ECC PT1 (src),RAN,1,1.0,1.0,in|||CEPT ECC PT1 (src)|||RAN
#91,in,CT4 (src),RAN,1,1.0,1.0,in|||CT4 (src)|||RAN
#91,in,ESOA (src),RAN,1,1.0,1.0,in|||ESOA (src)|||RAN
#91,in,ETSI ISG IPE (src),RAN,1,1.0,1.0,in|||ETSI ISG IPE (src)|||RAN
#91,in,ETSI TC ERM (src),RAN,1,1.0,1.0,in|||ETSI TC ERM (src)|||RAN
#91,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#91,in,IEEE 1588 WG (src),RAN,1,1.0,1.0,in|||IEEE 1588 WG (src)|||RAN
#91,in,IETF (src),RAN,1,1.0,1.0,in|||IETF (src)|||RAN
#91,in,ITU-R WP1C (src),RAN,1,1.0,1.0,in|||ITU-R WP1C (src)|||RAN
#91,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#91,in,ITU-R WP5D (src),RAN,3,3.0,3.0,in|||ITU-R WP5D (src)|||RAN
#91,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#91,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#91,in,MulteFire Alliance (src),RAN,1,1.0,1.0,in|||MulteFire Alliance (src)|||RAN
#91,in,NGMN (src),RAN,1,1.0,1.0,in|||NGMN (src)|||RAN
#91,in,RAN1 (src),RAN,2,2.0,2.0,in|||RAN1 (src)|||RAN
#91,in,RAN2 (src),RAN,3,3.0,3.0,in|||RAN2 (src)|||RAN
#91,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#91,in,RAN4 (src),RAN,4,4.0,4.0,in|||RAN4 (src)|||RAN
#91,in,RAN5 (src),RAN,1,1.0,1.0,in|||RAN5 (src)|||RAN
#91,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#91,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#91,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#91,in,SAE Advanced Applications Technical Committee (src),RAN,1,1.0,1.0,in|||SAE Advanced Applications Technical Committee (src)|||RAN
#91,out,RAN,5G-ACIA (dst),2,2.0,2.0,out|||RAN|||5G-ACIA (dst)
#91,out,RAN,CT1 (dst),3,3.0,1.5,out|||RAN|||CT1 (dst)
#91,out,RAN,ITU-R WP1C (dst),2,2.0,2.0,out|||RAN|||ITU-R WP1C (dst)
#91,out,RAN,ITU-R WP4B (dst),5,5.0,5.0,out|||RAN|||ITU-R WP4B (dst)
#91,out,RAN,SA (dst),4,4.0,4.0,out|||RAN|||SA (dst)
#91,out,RAN,SA1 (dst),3,3.0,1.5,out|||RAN|||SA1 (dst)
#91,out,RAN,SA4 (dst),2,2.0,1.0,out|||RAN|||SA4 (dst)
#91,out,RAN,SA5 (dst),2,2.0,1.0,out|||RAN|||SA5 (dst)
#92,in,5GAA WG4 (src),RAN,2,2.0,2.0,in|||5GAA WG4 (src)|||RAN
#92,in,APT Wireless Group (src),RAN,1,1.0,1.0,in|||APT Wireless Group (src)|||RAN
#92,in,CT1 (src),RAN,2,2.0,2.0,in|||CT1 (src)|||RAN
#92,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#92,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#92,in,IOWN Global Forum (src),RAN,1,1.0,1.0,in|||IOWN Global Forum (src)|||RAN
